id,item_id,item_code,created_at,updated_at
1,24585,VX023S-2DM5-03F-B-V2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
2,20248,CDSB0-34-C2622,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
3,20247,CDSA8-34-C2621,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
4,20246,CDSA6-34-C1786,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
5,20245,CDSA4-34-C1785,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
6,20237,C2M025-34-65049,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
7,20244,CDS125-34-178,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
8,20235,C2AA0-34-AJ910,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
9,20234,C2A80-34-AJ909,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
10,20233,C2A63-34-AJ908,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
11,20232,C2A50-34-AJ907,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
12,20231,C2A40-34-AJ906,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
13,20239,C2M040-34-65051,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
14,20230,C1Q032-34-174,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
15,20238,C2M032-34-65050,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
16,20243,C2Q25-34-51397,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
17,20242,C2Q20-34-51396,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
18,20236,C2M020-34-65048,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
19,20241,C2Q16-34-AD135,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
20,20240,C2Q016-34-80345,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
21,2563,VHS20-N02A-RZ,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
22,2562,VHS20-N02A-KZ,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
23,2561,VHS20-N02A-B-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
24,2560,VHS20-N01B-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
25,2559,VHS20-N01B-RZ,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
26,2558,VHS20-N01A-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
27,18931,TU1611YR-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
28,12943,TU1611YR-33-X74Z1,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
29,18952,TU1611YR2-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
30,18951,TU1611YR1-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
31,18930,TU1611Y-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
32,12942,TU1611Y-33-X74Z1,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
33,18950,TU1611Y3-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
34,18949,TU1611Y2-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
35,2633,VHS40-N03A-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
36,2632,VHS40-N03A-RZ,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
37,2631,VHS40-N02B-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
38,2609,VHS30-N03B-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
39,2608,VHS30-N03B-S-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
40,2607,VHS30-N03B-RZ,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
41,2606,VHS30-N03B-KZ,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
42,2605,VHS30-N03B-KRZ,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
43,2604,VHS30-N03B-B-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
44,2636,VHS40-N03B-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
45,2637,VHS40-N04A,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
46,2638,VHS40-N04A-RZ,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
47,2639,VHS40-N04A-S-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
48,2640,VHS40-N04A-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
49,2642,VHS40-N04B-BS-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
50,2643,VHS40-N04B-KZ,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
51,2644,VHS40-N04B-RZ,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
52,2645,VHS40-N04B-S-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
53,2646,VHS40-N04B-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
54,2647,VHS40-N06A-RZ,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
55,2648,VHS40-N06A-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
56,2649,VHS40-N06B-RZ,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
57,2650,VHS40-N06B-S-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
58,2651,VHS40-N06B-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
59,2687,VHS4510-N04A-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
60,2688,VHS4510-N06B-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
61,2689,VHS50-N06A-RZ,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
62,2690,VHS50-N06A-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
63,2691,VHS50-N06B-S-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
64,2692,VHS50-N06B-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
65,2693,VHS50-N10A-RZ,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
66,2694,VHS50-N10A-S-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
67,2695,VHS50-N10A-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
68,2696,VHS50-N10B-S-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
69,2697,VHS50-N10B-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
70,2719,VHS5510-N10B-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
71,2641,VHS40-N04B-B-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
72,2634,VHS40-N03B-KZ,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
73,2603,VHS30-N03A-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
74,2602,VHS30-N03A-S-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
75,2601,VHS30-N03A-RZ,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
76,2600,VHS30-N03A-BS-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
77,2599,VHS30-N02B-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
78,2598,VHS30-N02B-S-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
79,2597,VHS30-N02B-RZ,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
80,2596,VHS30-N02A-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
81,2595,VHS30-N02A-RZ,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
82,2571,VHS20-N02B-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
83,2570,VHS20-N02B-S-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
84,2569,VHS20-N02B-RZ,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
