id,name,code,description,status,created_at,updated_at,approver_id,approved_at,work_center_id,created_by,complete_rate,en_name,jp_name,cost_center_id,cost_center_code,routing_id
1,VX Gia Công-Gia Công (VXBody),VXBODY_MACHINING,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,85,,,654dea19ea28000066005291,A00447,
2,VX Gia Công-Tẩy Rửa (VXBody),VXBODY_CLEANING,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,90,,,654dea19ea28000066005291,A00447,
3,VX Gia Công-Ngoại Quan (VXBody),VXBODY_BONDED,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,95,,,654dea19ea28000066005291,A00447,
4,Gia Công Nam Châm Nhựa-Gia Công,PLAS_MAGNET_MACHINE,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,95,,,654dea19ea280000660052b0,A00478,
5,Gia Công Nam Châm Nhựa-Cắt,PLAS_MAGNET_CUT,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,95,,,654dea19ea280000660052b0,A00478,
6,Gia Công Nam Châm Nhựa-Ngoại Quan,PLAS_MAGNET_BONDED,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,95,,,654dea19ea280000660052b0,A00478,
7,Gia Công Nam Châm Nhựa-Đóng Gói,PLAS_MAGNET_PACKING,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,95,,,654dea19ea280000660052b0,A00478,
8,FRL Lắp Ráp-Lắp Ráp_VHS,FRL_ASSEMBLY_VHS,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,75,,,654dea19ea2800006600527e,A00428,
9,FRL Lắp Ráp-Ngoại Quan_VHS,FRL_INSPECTION_VHS,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,90,,,654dea19ea2800006600527e,A00428,
10,FRL Lắp Ráp-Đóng Gói_VHS,FRL_PACKING_VHS,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,95,,,654dea19ea2800006600527e,A00428,
11,Đóng Gói Nhựa-Đóng Gói,PLASTIC_PACKING,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,95,,,654dea19ea28000066005280,A00430,
12,SY SUB Lắp Ráp-PortBlock_Lắp PortBlock,SYSUB_PORTBLOCK_ASS,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,75,,,660242e23bffc0b4510d818c,A00605,
13,SY SUB Lắp Ráp-PortBlock_Đóng Gói,SYSUB_PACKING,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,95,,,660242e23bffc0b4510d818c,A00605,
14,SY SUB Lắp Ráp-Spool_Lắp Ráp Ron,SYSUB_SPOOL_RON,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,75,,,660242e23bffc0b4510d818c,A00605,
