id,name,code,description,status,approver_id,approved_at,created_at,updated_at,created_by,leader_id,plant_id,cost_center_id
1,"VX023S-2DM5-03F-B-V2
_P001","VX023S-2DM5-03F-B-V2
_P001",,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005291
2,CDSB0-34-C2622_P001,CDSB0-34-C2622_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea280000660052b0
3,CDSA8-34-C2621_P001,CDSA8-34-C2621_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea280000660052b0
4,CDSA6-34-C1786_P001,CDSA6-34-C1786_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea280000660052b0
5,CDSA4-34-C1785_P001,CDSA4-34-C1785_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea280000660052b0
6,C2M025-34-65049_P001,C2M025-34-65049_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea280000660052b0
7,CDS125-34-178_P001,CDS125-34-178_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea280000660052b0
8,C2AA0-34-AJ910_P001,C2AA0-34-AJ910_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea280000660052b0
9,C2A80-34-AJ909_P001,C2A80-34-AJ909_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea280000660052b0
10,C2A63-34-AJ908_P001,C2A63-34-AJ908_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea280000660052b0
11,C2A50-34-AJ907_P001,C2A50-34-AJ907_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea280000660052b0
12,C2A40-34-AJ906_P001,C2A40-34-AJ906_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea280000660052b0
13,C2M040-34-65051_P001,C2M040-34-65051_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea280000660052b0
14,C1Q032-34-174_P001,C1Q032-34-174_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea280000660052b0
15,C2M032-34-65050_P001,C2M032-34-65050_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea280000660052b0
16,C2Q25-34-51397_P001,C2Q25-34-51397_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea280000660052b0
17,C2Q20-34-51396_P001,C2Q20-34-51396_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea280000660052b0
18,C2M020-34-65048_P001,C2M020-34-65048_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea280000660052b0
19,C2Q16-34-AD135_P001,C2Q16-34-AD135_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea280000660052b0
20,C2Q016-34-80345_P001,C2Q016-34-80345_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea280000660052b0
21,VHS20-N02A-RZ_P001,VHS20-N02A-RZ_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
22,VHS20-N02A-KZ_P001,VHS20-N02A-KZ_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
23,VHS20-N02A-B-Z_P001,VHS20-N02A-B-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
24,VHS20-N01B-Z_P001,VHS20-N01B-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
25,VHS20-N01B-RZ_P001,VHS20-N01B-RZ_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
